event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
793,59,73,83,104,51,61,80,85,52,42,47,60,39,45,37,45,-27.5842,19.1461,0,48.15
794,59,58,54,38,82,65,60,65,73,74,53,44,79,69,59,41,-0.530074,-22.5399,-0,48.65
795,57,63,54,55,64,82,72,58,55,87,65,62,65,53,38,48,-2.86788,-2.70659,0,48.9
796,43,48,83,90,39,61,56,87,57,51,61,67,44,52,67,45,-10.525,23.875,-0,47.55
797,62,52,57,54,85,66,36,54,77,74,46,50,66,64,51,50,1.68459,-34.0156,0,47.2
798,56,55,44,43,62,63,50,48,94,59,57,65,82,65,52,43,6.59621,-30.4909,0,46.9
799,58,64,48,40,60,59,67,49,74,77,62,62,51,55,47,57,5.57601,-2.88085,-0,46.5
800,79,67,54,49,86,93,58,41,63,57,60,42,60,47,39,42,-10.5803,-21.1417,0,46.85
801,97,68,67,51,93,76,57,43,56,62,61,55,36,52,42,43,-24.9352,-17.6921,-0,47.95
802,44,42,46,47,40,48,64,65,43,67,74,80,50,43,93,89,17.921,17.6925,0,46.75
803,62,65,46,39,70,63,51,35,87,79,74,47,79,73,53,37,4.54169,-20.5625,-0,48
804,79,61,48,38,94,54,44,44,83,68,56,48,66,64,48,44,-3.09071,-28.9045,-0,46.95
805,95,80,41,54,96,74,53,59,71,51,39,57,53,59,58,35,-16.4306,-25.6447,0,48.75
806,80,72,65,36,83,87,53,64,63,65,54,55,43,52,39,44,-8.33828,-14.7931,-0,47.75
807,115,85,63,48,87,68,51,42,49,53,55,54,45,49,46,35,-26.2325,-28.0201,0,47.25
808,38,42,54,57,53,50,67,63,53,56,77,97,51,53,65,89,13.4816,24.8,-0,48.25
809,90,69,51,57,91,75,46,54,65,51,62,48,42,60,62,39,-11.865,-19.5755,0,48.1
810,31,56,42,49,43,54,50,62,43,68,71,83,48,53,77,120,27.9534,19.812,0,47.5
811,59,53,54,59,48,58,72,57,40,61,73,75,55,58,78,55,4.43043,6.46672,0,47.75
812,108,75,68,59,83,83,42,49,65,49,52,39,49,43,38,49,-20.599,-23.701,0,47.55
813,47,62,83,109,45,43,74,69,53,55,52,59,56,44,42,54,-21.8296,25.025,-0,47.35
814,46,55,86,107,58,63,73,91,40,63,49,56,42,42,35,57,-23.2086,25.7053,-0,48.15
815,79,93,74,57,59,61,64,37,55,55,56,54,48,46,46,42,-33.5893,-7.738,-0,46.3
816,69,77,84,54,58,60,66,47,58,63,45,48,41,63,43,63,-25.2437,-4.85137,0,46.95
817,41,40,52,43,48,50,42,64,49,61,79,70,46,56,95,104,30.9856,27.5109,-0,47
818,37,47,62,45,61,67,52,47,62,87,58,56,72,65,64,57,9.61407,-8.76183,0,46.95
819,41,45,65,73,46,62,58,82,37,49,58,83,43,69,47,48,-9.07504,29.6599,-0,45.3
820,42,46,35,43,46,56,48,45,71,68,75,67,58,78,82,65,23.2516,8.44518,0,46.25
821,45,57,52,60,47,66,77,64,54,56,93,72,52,54,66,57,0.342783,7.66485,-0,48.6
