event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
8609,18,9,9,7,17,14,9,11,23,13,17,15,23,15,8,12,20.719,-30.0689,3.5,44
8610,9,13,12,11,16,10,8,12,19,18,21,10,13,8,8,14,5.28573,-9.42312,3.5,40.4
8611,16,16,18,16,13,23,23,9,15,25,21,10,12,9,14,16,-3.63193,-3.14717,3.5,51.2
8612,11,5,8,12,11,12,13,12,10,9,18,31,14,16,19,23,12.6553,30.8624,3.5,44.8
8613,7,5,16,16,7,11,14,8,11,10,18,17,6,16,21,43,28.9579,30.4523,3.5,45.2
8614,17,9,7,11,8,12,13,17,13,17,19,11,15,12,24,29,33.7426,20.3389,3.5,46.8
8615,15,14,7,13,23,14,18,6,26,17,14,15,16,17,15,9,6.93503,-30.1527,3.5,47.8
8616,11,10,13,12,14,13,16,9,15,10,22,14,16,27,17,11,18.3441,-6.18565,3.5,46
8617,11,17,17,24,14,13,16,21,14,14,11,17,10,11,8,6,-13.9874,13.6007,3.5,44.8
8618,18,13,9,10,8,16,20,17,12,17,20,12,18,23,20,12,9.87829,-0.269323,3.5,49
8619,19,29,18,14,14,14,13,14,12,14,13,11,13,10,7,8,-21.8662,-18.671,3.5,44.6
8620,14,18,11,8,8,10,14,13,11,19,18,10,16,23,16,16,30.8702,-13.7469,3.5,45
8621,19,16,13,18,20,26,12,11,21,14,16,11,18,15,12,12,-3.75898,-27.1799,3.5,50.8
8622,6,7,5,10,4,17,11,11,12,16,19,29,15,12,19,36,34.8641,22.9034,3.5,45.8
8623,13,32,31,8,19,12,21,14,18,16,13,5,8,12,8,8,-28.9562,-3.03154,3.5,47.6
8624,21,18,10,14,25,23,13,8,14,21,14,12,12,7,10,11,-10.5521,-16.1828,3.5,46.6
8625,28,23,17,9,22,17,19,14,11,24,11,9,7,10,9,9,-24.7526,-23.0932,3.5,47.8
8626,12,12,20,14,21,17,14,13,13,19,14,14,14,11,17,11,-32.8559,5.86473,3.5,47.2
8627,14,17,19,35,13,13,13,18,13,9,13,11,10,9,14,8,-30.6358,23.18,3.5,45.8
8628,9,13,10,14,10,16,23,3,12,14,19,13,22,25,16,10,24.425,-10.719,3.5,45.8
8629,13,16,23,11,12,18,23,11,9,12,11,9,17,16,13,12,-18.1447,9.17489,3.5,45.2
8630,11,15,12,13,20,21,12,15,22,21,17,11,19,8,12,9,0.547936,-32.7266,3.5,47.6
8631,7,13,12,27,10,16,14,16,15,10,14,13,16,12,25,15,8.65828,14.571,3.5,47
8632,18,11,16,10,8,12,12,8,15,24,20,20,25,12,22,9,16.4887,-12.189,3.5,48.4
8633,12,16,15,5,11,15,9,9,18,17,9,14,41,23,8,14,23.4557,-33.3886,3.5,47.2
8634,17,27,14,11,12,21,7,15,12,7,15,11,12,17,19,12,-29.9081,-20.8869,3.5,45.8
8635,28,21,21,9,23,19,22,11,8,13,19,13,14,7,14,5,-22.5164,-17.936,3.5,49.4
8636,13,22,15,11,14,7,18,14,11,14,23,16,11,13,26,15,6.44152,9.72338,3.5,48.6
8637,21,14,10,12,15,22,21,12,16,11,17,16,12,13,20,9,-1.77902,5.72726,3.5,48.2
8638,13,15,7,13,14,10,8,9,17,18,19,10,21,34,12,10,17.5068,-12.5888,3.5,46
8639,16,15,7,11,10,14,8,13,13,21,21,11,20,29,22,17,21.6987,-0.482365,3.5,49.6
8640,14,19,25,19,18,9,18,17,14,13,8,18,11,11,8,16,-14.1319,4.17746,3.5,47.6
8641,13,17,16,10,7,9,15,12,17,15,15,19,29,25,16,9,32.8698,-19.1979,3.5,48.8
8642,5,11,20,17,10,11,21,18,20,31,22,14,14,7,11,12,2.54088,0.823727,3.5,48.8
