event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
842,41,28,39,48,37,45,44,36,42,41,45,64,49,35,74,274,31.6568,26.0418,17.5,47.1
843,53,52,44,42,45,43,43,38,86,136,53,46,82,116,63,51,15.308,-11.8024,17.5,49.65
844,43,50,36,37,46,42,50,43,72,51,47,39,300,55,58,46,26.7013,-28.2223,17.5,50.75
845,35,33,45,35,33,49,50,35,63,47,42,51,247,89,39,42,32.5062,-24.5967,17.5,46.75
846,48,46,168,132,44,45,52,57,23,48,42,55,53,44,41,34,-30.6747,13.7533,17.5,46.6
847,68,167,118,54,46,79,62,53,40,54,53,40,32,38,34,44,-21.9508,-1.01391,17.5,49.1
848,45,35,49,42,36,45,43,47,46,36,49,50,50,46,157,152,31.2003,15.7245,17.5,46.4
849,54,58,61,106,41,47,60,179,37,35,59,64,28,47,55,34,-12.1233,33.5395,17.5,48.25
850,126,126,50,42,94,93,41,40,53,47,31,37,46,47,40,38,-17.1557,-15.2983,17.5,47.55
851,37,37,35,39,45,51,49,36,56,164,63,47,48,130,70,44,14.9567,-6.66679,17.5,47.55
852,104,64,37,45,251,70,39,41,54,47,34,36,40,34,44,47,-11.8544,-23.3548,17.5,49.35
853,38,43,34,28,35,31,29,38,117,72,32,48,193,57,42,49,18.3011,-34.8233,17.5,44.3
854,40,44,38,32,52,54,45,36,52,60,42,48,174,158,42,41,28.2225,-16.0676,17.5,47.9
855,50,54,46,34,148,49,51,46,146,45,49,42,56,42,35,34,0.0698414,-31.0518,17.5,46.35
856,60,53,50,52,239,76,44,34,72,60,39,39,47,46,42,33,-7.58967,-20.3548,17.5,49.3
857,80,65,39,46,162,120,54,46,55,62,40,38,49,39,31,36,-9.70556,-17.2678,17.5,48.1
858,50,42,45,37,81,57,55,36,125,129,48,43,65,57,57,28,3.86104,-17.0156,17.5,47.75
859,35,41,43,46,47,45,45,27,48,71,55,47,67,256,86,45,25.3894,-5.05808,17.5,50.2
860,139,70,40,31,169,48,41,42,58,46,41,34,37,41,37,46,-15.4733,-30.9394,17.5,46
861,45,47,51,55,35,37,94,191,46,48,61,86,48,38,48,53,-5.70859,18.8646,17.5,49.15
862,72,43,41,33,263,54,37,43,119,48,43,39,46,57,44,38,-4.9739,-27.8358,17.5,51
863,60,136,99,52,44,89,72,47,49,41,48,40,52,44,39,42,-19.1128,-1.74431,17.5,47.7
864,207,57,59,53,57,41,46,43,59,46,50,38,33,41,25,47,-32.098,-34.4056,17.5,45.1
865,40,40,36,38,33,45,38,36,84,61,39,45,274,96,44,40,21.9816,-20.5581,17.5,49.45
866,280,53,54,54,69,51,49,36,30,49,36,39,38,29,41,42,-26.2592,-34.2589,17.5,47.5
867,280,83,45,35,84,61,32,41,55,45,41,37,45,56,37,38,-24.6543,-21.7689,17.5,50.75
868,50,55,47,45,65,52,63,43,53,153,113,38,47,65,55,46,5.3422,-0.646691,17.5,49.5
869,35,39,33,41,54,47,33,33,69,37,46,42,272,73,39,41,30.2926,-26.9488,17.5,46.7
870,39,40,71,283,34,45,73,100,37,31,58,48,27,45,36,51,-22.62,29.1827,17.5,50.9
871,36,50,50,48,41,50,72,72,41,63,218,52,35,37,63,54,4.80902,5.41283,17.5,49.1
872,73,57,40,34,226,61,33,46,99,65,42,43,66,57,34,40,-3.86805,-27.7693,17.5,50.8
873,38,52,37,50,39,34,36,47,51,61,73,48,57,110,171,50,32.1206,0.905911,17.5,47.7
874,56,46,46,48,50,102,134,46,44,60,77,44,54,47,47,48,-4.99231,0.525047,17.5,47.45
875,29,39,55,53,33,53,61,87,34,46,113,109,55,46,45,65,1.78189,16.4374,17.5,46.15
876,59,43,40,34,43,43,42,33,68,68,45,38,242,64,36,39,31.8733,-27.6976,17.5,46.85
877,36,42,39,39,64,46,43,38,152,63,41,27,194,51,48,44,16.6194,-24.646,17.5,48.35
878,40,34,54,32,38,49,41,38,48,56,59,43,57,218,97,57,29.6688,-4.76331,17.5,48.05
879,270,64,45,41,68,46,41,50,38,48,35,40,42,41,33,35,-31.4037,-25.886,17.5,46.85
880,44,33,36,44,61,46,46,40,253,66,41,43,109,57,47,44,12.0179,-24.3656,17.5,50.5
881,30,38,44,42,47,50,29,38,40,51,72,62,52,60,300,82,27.1772,9.60027,17.5,51.85
882,37,41,41,47,43,45,57,63,37,53,119,160,40,44,52,55,6.48637,17.3169,17.5,46.7
883,39,56,53,40,48,124,89,42,39,86,75,43,38,59,48,46,-1.31695,-1.53958,17.5,46.25
884,42,55,50,53,47,40,38,41,61,50,44,40,251,83,44,38,32.1977,-24.2479,17.5,48.85
885,34,51,54,66,34,46,56,225,35,40,50,120,40,40,51,49,-2.35624,27.651,17.5,49.55
